district,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Baoshan,2800,1,1,1,0,28,0,villa,residential,0,0,0,0,1,0,0,0,1
Baoshan,3200,2,1,1,0,74,0,public housing,residential,0,0,0,0,1,0,0,0,1
Baoshan,3234,2,1,1,0,58,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Baoshan,5000,2,1,1,0,62,0,public housing,residential,0,1,1,0,0,0,0,0,2
Baoshan,5000,3,1,1,0,95,0,public housing,residential,0,1,1,1,1,0,0,0,4
Baoshan,6100,2,1,1,0,56,0,detached lane house,residential,0,1,1,1,1,1,0,0,5
Baoshan,6500,3,1,1,0,66,0,public housing,residential,0,1,1,1,1,0,0,0,4
Baoshan,8500,4,1,2,0,120,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,3200,1,0,1,0,40,0,detached lane house,residential,1,0,0,0,1,0,0,0,2
Changning,3300,1,0,1,0,33,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,3499,1,0,1,0,26,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,3800,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,3800,2,1,1,0,58,0,public housing,residential,1,1,1,0,0,0,0,0,3
Changning,3890,2,1,1,0,27,0,attached lane house,multi-use,1,0,0,0,0,0,0,0,1
Changning,4000,1,0,1,0,45,0,public housing,residential,0,1,0,0,1,0,0,0,2
Changning,4100,1,1,1,0,40,0,public housing,multi-use,0,1,1,1,1,1,0,0,5
Changning,4200,1,0,1,0,36,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,4300,1,0,1,0,36,0,public housing,residential,0,0,0,0,0,0,0,0,0
Changning,4300,1,0,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,4500,1,1,1,0,32,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,4500,1,1,1,0,42,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,4700,1,1,1,0,46,0,public housing,residential,1,1,0,0,1,1,0,0,4
Changning,4800,1,0,1,0,22,0,detached lane house,multi-use,0,1,0,1,1,0,0,0,3
Changning,4800,1,1,1,1,35,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,5000,1,1,1,0,38,0,public housing,residential,1,0,0,0,0,0,0,0,1
Changning,5200,1,1,1,1,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,5200,1,0,1,0,38,0,public housing,residential,0,1,1,1,0,0,0,0,3
Changning,5200,1,1,1,0,42,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,5500,1,1,1,0,45,0,public housing,multi-use,0,1,1,0,1,0,0,0,3
Changning,5700,1,0,1,0,36,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,5800,1,1,1,0,38,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,5800,1,1,1,0,45,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,5800,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,5800,1,0,1,0,35,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,5800,1,1,1,0,50,0,public housing,residential,0,1,1,0,1,0,0,0,3
Changning,6000,2,1,1,0,58,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,6000,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,6000,1,0,1,0,35,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Changning,6000,1,1,1,0,45,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,6000,1,1,1,0,50,0,public housing,residential,0,1,0,0,1,0,0,0,2
Changning,6200,1,0,1,0,34,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Changning,6200,1,0,1,0,33,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6200,2,0,1,0,56,0,public housing,residential,0,1,1,0,1,1,0,0,4
Changning,6200,1,1,1,0,40,0,public housing,residential,0,1,1,0,1,0,0,0,3
Changning,6200,2,1,1,0,52,0,public housing,residential,1,1,1,0,0,0,0,0,3
Changning,6200,1,1,1,0,36,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6200,1,1,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6200,2,0,1,0,56,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6200,1,1,1,0,1,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6400,1,1,1,0,50,0,public housing,residential,0,1,1,1,0,0,0,0,3
Changning,6500,1,1,1,0,40,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6500,1,1,1,0,50,0,public housing,residential,0,1,0,1,0,0,0,0,2
Changning,6500,2,0,1,0,50,0,public housing,residential,0,1,1,0,1,0,0,0,3
Changning,6500,1,1,1,0,48,0,public housing,residential,0,1,1,1,0,0,0,0,3
Changning,6500,1,1,1,0,47,0,public housing,residential,1,1,1,1,0,0,0,0,4
Changning,6500,1,0,1,0,20,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,6600,1,1,1,0,38,0,public housing,residential,0,1,1,0,1,0,0,0,3
Changning,6600,1,1,1,0,45,0,public housing,residential,0,1,1,1,0,0,0,0,3
Changning,6600,1,1,1,0,39,0,public housing,residential,0,1,1,0,1,0,0,0,3
Changning,6600,1,1,1,0,50,0,detached lane house,residential,0,1,0,1,1,0,0,0,3
Changning,6700,1,1,1,0,50,0,public housing,residential,0,0,1,1,0,0,0,0,2
Changning,6700,1,1,1,0,65,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,6800,1,1,1,0,60,0,attached lane house,residential,1,1,1,1,1,1,0,0,6
Changning,6800,1,0,1,0,38,0,public housing,residential,0,0,1,1,0,0,0,0,2
Changning,6800,1,1,1,0,42,0,public housing,residential,0,1,1,1,0,0,0,0,3
Changning,6800,2,1,1,0,78,0,public housing,residential,1,1,0,0,0,0,0,0,2
Changning,6800,1,1,1,0,50,0,public housing,multi-use,1,1,1,0,0,0,0,0,3
Changning,6800,1,1,1,0,45,0,public housing,multi-use,1,1,1,0,0,0,0,0,3
Changning,6800,1,0,1,0,40,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6800,1,1,1,0,38,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,6900,1,2,1,0,60,0,attached lane house,residential,0,1,0,1,1,0,0,0,3
Changning,6900,1,1,1,0,45,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,6900,1,1,1,0,35,0,public housing,residential,0,1,0,0,1,0,0,0,2
Changning,6900,1,1,1,0,45,0,public housing,residential,1,1,1,0,0,0,0,0,3
Changning,6900,1,1,1,0,45,0,public housing,multi-use,1,1,1,0,0,0,0,0,3
Changning,6900,1,1,1,0,50,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,7000,1,1,1,0,50,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Changning,7000,1,1,1,0,60,0,detached lane house,residential,1,1,0,1,0,1,0,0,4
Changning,7000,2,1,1,0,60,0,public housing,residential,0,0,0,0,1,0,0,0,1
Changning,7000,1,1,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,7200,2,1,1,0,65,0,public housing,residential,0,1,1,1,1,1,0,0,5
Changning,7200,2,1,1,0,65,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,7200,1,1,1,0,52,0,detached lane house,residential,0,1,1,1,1,0,0,0,4
