,text_description
0,有一个Baoshan的villa，1卧1厅1卫，面积是28平方米，有室外空间，房租价格是2800.0。
1,有一个Baoshan的public housing，2卧1厅1卫，面积是74平方米，有室外空间，房租价格是3200.0。
2,有一个Baoshan的attached lane house，2卧1厅1卫，面积是58平方米，有室外空间，房租价格是3234.0。
3,有一个Baoshan的public housing，2卧1厅1卫，面积是62平方米，有空调，有阳台，房租价格是5000.0。
4,有一个Baoshan的public housing，3卧1厅1卫，面积是95平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是5000.0。
5,有一个Baoshan的detached lane house，2卧1厅1卫，面积是56平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是6100.0。
6,有一个Baoshan的public housing，3卧1厅1卫，面积是66平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是6500.0。
7,有一个Baoshan的public housing，4卧1厅2卫，面积是120平方米，有室外空间，房租价格是8500.0。
8,有一个Changning的detached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有供暖，房租价格是3200.0。
9,有一个Changning的public housing，1卧0厅1卫，面积是33平方米，有室外空间，房租价格是3300.0。
10,有一个Changning的public housing，1卧0厅1卫，面积是26平方米，有空调，有阳台，房租价格是3499.0。
11,有一个Changning的attached lane house，1卧0厅1卫，面积是22平方米，有空调，房租价格是3800.0。
12,有一个Changning的public housing，2卧1厅1卫，面积是58平方米，有供暖，有空调，有阳台，房租价格是3800.0。
13,有一个Changning的attached lane house，2卧1厅1卫，面积是27平方米，有供暖，房租价格是3890.0。
14,有一个Changning的public housing，1卧0厅1卫，面积是45平方米，有室外空间，有空调，房租价格是4000.0。
15,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是4100.0。
16,有一个Changning的public housing，1卧0厅1卫，面积是36平方米，有空调，有阳台，房租价格是4200.0。
17,有一个Changning的public housing，1卧0厅1卫，面积是36平方米，房租价格是4300.0。
18,有一个Changning的public housing，1卧0厅1卫，面积是42平方米，有空调，有阳台，房租价格是4300.0。
19,有一个Changning的detached lane house，1卧0厅1卫，面积是36平方米，有空调，房租价格是4500.0。
20,有一个Changning的detached lane house，1卧1厅1卫，面积是32平方米，有空调，房租价格是4500.0。
21,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有室外空间，房租价格是4500.0。
22,有一个Changning的public housing，1卧1厅1卫，面积是46平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是4700.0。
23,有一个Changning的detached lane house，1卧0厅1卫，面积是22平方米，有室外空间，有空调，有WIFI，房租价格是4800.0。
24,有一个Changning的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是4800.0。
25,有一个Changning的public housing，1卧1厅1卫，面积是38平方米，有供暖，房租价格是5000.0。
26,有一个Changning的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是5200.0。
27,有一个Changning的public housing，1卧0厅1卫，面积是38平方米，有空调，有阳台，有WIFI，房租价格是5200.0。
28,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有空调，房租价格是5200.0。
29,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有空调，有阳台，房租价格是5500.0。
30,有一个Changning的public housing，1卧0厅1卫，面积是36平方米，有空调，有阳台，房租价格是5700.0。
31,有一个Changning的public housing，1卧1厅1卫，面积是38平方米，有空调，有阳台，房租价格是5800.0。
32,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有室外空间，房租价格是5800.0。
33,有一个Changning的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是5800.0。
34,有一个Changning的public housing，1卧0厅1卫，面积是35平方米，有空调，有阳台，房租价格是5800.0。
35,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，房租价格是5800.0。
36,有一个Changning的public housing，2卧1厅1卫，面积是58平方米，有空调，房租价格是6000.0。
37,有一个Changning的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是6000.0。
38,有一个Changning的detached lane house，1卧0厅1卫，面积是35平方米，有室外空间，房租价格是6000.0。
39,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有室外空间，房租价格是6000.0。
40,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是6000.0。
41,有一个Changning的detached lane house，1卧0厅1卫，面积是34平方米，有室外空间，房租价格是6200.0。
42,有一个Changning的public housing，1卧0厅1卫，面积是33平方米，有空调，有阳台，房租价格是6200.0。
43,有一个Changning的public housing，2卧0厅1卫，面积是56平方米，有室外空间，有空调，有阳台，有浴缸，房租价格是6200.0。
44,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有空调，有阳台，房租价格是6200.0。
